id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
2310,Female,66,1,28,0,1-2 Year,No,2630,42,283,0
2311,Female,23,1,41,0,< 1 Year,Yes,38338,152,56,0
2312,Female,63,1,40,1,1-2 Year,Yes,2630,124,34,0
2313,Female,25,1,37,0,< 1 Year,Yes,30038,154,143,0
2314,Female,50,1,28,0,1-2 Year,Yes,42448,26,99,1
2315,Female,25,1,4,1,< 1 Year,No,38934,152,297,0
2316,Female,28,1,41,0,< 1 Year,Yes,2630,156,273,0
2317,Male,45,1,28,0,1-2 Year,Yes,22838,163,39,1
2318,Male,40,1,28,0,> 2 Years,Yes,35804,124,135,0
2319,Male,40,1,8,0,1-2 Year,Yes,44197,26,160,0
2320,Male,21,1,13,0,< 1 Year,No,34576,160,291,0
2321,Male,46,1,47,0,> 2 Years,Yes,27545,26,149,0
2322,Female,25,1,18,1,< 1 Year,No,27929,152,158,0
2323,Male,38,1,15,0,1-2 Year,Yes,35139,124,290,1
2324,Male,50,1,43,0,1-2 Year,Yes,49794,26,287,1
2325,Male,21,1,18,0,< 1 Year,Yes,36086,152,186,0
2326,Male,23,1,8,0,< 1 Year,No,44618,152,108,0
2327,Male,26,1,28,1,< 1 Year,No,62636,152,220,0
2328,Male,39,1,24,1,1-2 Year,No,31067,145,11,0
2329,Male,43,1,41,0,1-2 Year,No,39793,26,126,0
2330,Male,35,1,16,1,1-2 Year,No,25487,152,22,0
2331,Female,26,1,41,1,< 1 Year,No,36826,151,296,0
2332,Female,28,1,15,1,< 1 Year,No,26390,152,10,0
2333,Female,51,1,28,0,1-2 Year,Yes,2630,157,104,1
2334,Male,37,1,28,0,1-2 Year,Yes,41694,124,151,0
2335,Female,23,1,8,1,< 1 Year,No,26044,152,66,0
2336,Female,24,1,35,1,< 1 Year,No,43529,152,35,0
2337,Female,70,1,40,1,1-2 Year,No,39559,26,222,0
2338,Male,30,1,50,1,< 1 Year,No,43203,152,73,0
2339,Female,68,1,28,1,1-2 Year,No,38470,152,267,0
2340,Male,29,1,23,0,1-2 Year,Yes,30057,163,142,1
2341,Male,25,1,17,0,< 1 Year,Yes,2630,152,143,0
2342,Female,24,1,8,1,< 1 Year,No,48333,152,60,0
2343,Male,33,1,33,1,1-2 Year,No,2630,124,230,0
2344,Female,66,1,28,0,1-2 Year,Yes,33244,122,161,1
2345,Female,23,1,15,0,< 1 Year,No,27838,152,148,0
2346,Male,49,1,30,0,1-2 Year,Yes,40153,26,152,0
2347,Male,60,1,28,0,1-2 Year,Yes,42249,26,177,1
2348,Male,38,1,29,0,> 2 Years,Yes,34742,157,163,0
2349,Female,22,1,13,0,< 1 Year,Yes,27938,152,172,0
2350,Male,21,1,15,0,< 1 Year,No,45797,160,234,0
2351,Female,26,1,18,1,< 1 Year,No,28577,152,142,0
2352,Male,34,1,46,0,1-2 Year,Yes,29108,124,264,0
2353,Male,63,1,8,0,> 2 Years,Yes,43569,26,55,1
2354,Male,38,1,31,1,1-2 Year,No,2630,152,122,0
2355,Male,27,1,28,1,1-2 Year,No,23656,124,155,0
2356,Female,66,1,28,1,1-2 Year,Yes,40916,124,102,0
2357,Male,44,1,28,0,1-2 Year,Yes,35566,124,122,0
2358,Female,47,1,28,0,1-2 Year,Yes,66434,147,283,0
2359,Male,53,1,14,0,1-2 Year,Yes,2630,26,162,0
2360,Male,33,1,28,1,< 1 Year,No,50462,152,149,0
2361,Female,66,1,29,1,1-2 Year,No,45777,124,281,0
2362,Male,39,1,23,1,1-2 Year,No,24042,124,289,0
2363,Male,22,1,24,0,< 1 Year,Yes,27283,163,92,1
2364,Male,68,1,28,1,1-2 Year,No,43030,26,25,0
2365,Male,66,1,28,0,1-2 Year,Yes,28108,24,180,0
2366,Female,52,0,45,1,1-2 Year,No,33283,26,152,0
2367,Male,28,1,29,0,< 1 Year,Yes,30404,154,145,1
2368,Male,22,1,24,0,< 1 Year,Yes,39759,152,229,0
2369,Male,23,1,10,1,< 1 Year,No,38869,152,295,0
2370,Male,51,1,28,1,1-2 Year,No,38717,124,57,0
2371,Female,21,1,45,1,< 1 Year,No,31170,152,288,0
2372,Male,39,1,28,0,1-2 Year,Yes,77603,26,140,0
2373,Female,24,1,49,0,< 1 Year,Yes,27321,160,14,0
2374,Male,34,1,31,1,< 1 Year,No,2630,152,45,0
2375,Male,50,1,8,0,1-2 Year,No,29743,124,57,0
2376,Male,22,1,46,1,< 1 Year,No,36223,152,294,0
2377,Female,29,1,28,1,< 1 Year,No,46401,152,110,0
2378,Male,74,1,8,0,1-2 Year,Yes,41438,26,50,1
2379,Female,64,1,50,1,1-2 Year,No,43414,124,274,0
2380,Female,72,1,28,1,1-2 Year,No,37255,125,61,0
2381,Female,22,1,30,1,< 1 Year,No,30996,152,268,0
2382,Female,72,1,28,0,1-2 Year,Yes,30207,26,297,0
2383,Male,23,1,8,1,< 1 Year,No,62734,152,100,0
2384,Female,38,1,28,0,> 2 Years,Yes,44513,55,19,1
2385,Male,42,1,8,0,1-2 Year,Yes,43132,26,17,0
2386,Male,25,1,11,1,< 1 Year,No,2630,152,166,0
2387,Female,28,1,50,1,< 1 Year,No,47013,152,160,0
2388,Male,21,1,35,0,< 1 Year,Yes,22527,160,165,0
2389,Male,46,1,35,0,1-2 Year,Yes,37107,26,116,0
2390,Male,48,1,8,1,1-2 Year,No,57433,124,117,0
2391,Male,26,1,16,1,< 1 Year,No,25063,152,80,0
2392,Male,42,1,28,0,1-2 Year,Yes,42506,124,145,1
2393,Male,21,1,46,1,< 1 Year,No,34395,160,48,0
2394,Female,27,1,26,0,< 1 Year,No,21945,151,26,0
2395,Female,25,1,16,0,< 1 Year,Yes,29522,152,282,0
2396,Male,63,1,28,0,1-2 Year,Yes,51537,26,190,1
2397,Female,37,1,12,1,1-2 Year,No,2630,26,287,0
2398,Female,70,1,28,0,> 2 Years,Yes,33143,26,117,0
2399,Female,44,1,41,0,1-2 Year,Yes,22449,12,235,1
2400,Female,40,1,48,0,1-2 Year,Yes,2630,156,122,0
2401,Male,66,1,50,1,1-2 Year,No,26890,124,102,0
2402,Female,25,1,41,0,< 1 Year,Yes,24514,124,162,0
2403,Female,28,1,5,0,< 1 Year,Yes,29286,152,89,0
2404,Female,23,1,30,1,< 1 Year,No,22351,152,61,0
2405,Male,67,1,46,1,1-2 Year,No,30070,26,61,0
2406,Male,70,1,28,0,> 2 Years,Yes,56926,26,235,1
2407,Female,34,1,37,0,1-2 Year,No,31623,152,92,0
2408,Male,60,1,8,0,> 2 Years,Yes,32042,124,75,0
2409,Female,58,1,28,0,> 2 Years,Yes,29127,26,146,0
2410,Male,24,1,2,0,< 1 Year,Yes,30531,152,20,0
2411,Male,41,1,9,1,1-2 Year,No,35283,26,175,0
2412,Male,58,1,28,0,1-2 Year,Yes,2630,156,120,0
2413,Female,44,1,28,0,1-2 Year,Yes,55384,147,85,0
2414,Female,40,1,16,0,1-2 Year,Yes,31705,152,168,0
2415,Female,45,1,28,0,1-2 Year,No,46161,124,245,0
2416,Male,44,1,28,0,> 2 Years,Yes,27935,26,262,0
2417,Male,26,1,41,1,< 1 Year,No,15117,152,293,0
2418,Female,25,1,3,1,< 1 Year,No,28432,152,10,0
2419,Male,29,1,4,0,1-2 Year,Yes,21296,124,211,0
2420,Female,38,1,21,1,1-2 Year,No,33542,152,17,0
2421,Male,23,1,8,1,< 1 Year,No,32668,152,206,0
2422,Male,45,1,28,0,1-2 Year,Yes,37289,124,17,1
2423,Female,28,1,3,1,1-2 Year,No,31604,156,237,0
2424,Male,58,1,28,0,1-2 Year,Yes,34934,29,147,0
2425,Female,77,1,8,1,1-2 Year,Yes,34544,26,52,0
2426,Female,33,1,28,1,1-2 Year,No,2630,18,94,0
2427,Female,42,1,8,0,1-2 Year,Yes,31325,124,32,0
2428,Female,21,1,15,0,< 1 Year,No,45285,152,86,0
2429,Female,37,1,28,0,1-2 Year,Yes,54880,139,72,0
2430,Male,45,1,8,1,1-2 Year,No,34915,26,48,0
2431,Male,76,1,33,1,1-2 Year,No,26669,26,98,0
2432,Female,20,1,35,1,< 1 Year,No,32673,160,112,0
2433,Male,41,1,33,0,1-2 Year,Yes,2630,157,258,1
2434,Female,23,1,28,0,< 1 Year,No,36494,152,49,0
2435,Female,24,1,21,1,< 1 Year,No,27104,152,271,0
2436,Female,22,1,30,1,< 1 Year,No,37111,152,70,0
2437,Female,23,1,3,1,< 1 Year,No,29338,152,40,0
2438,Female,22,1,6,1,< 1 Year,No,32264,152,204,0
2439,Male,29,1,31,1,1-2 Year,No,2630,124,183,0
2440,Female,51,1,26,1,1-2 Year,No,24659,26,259,0
2441,Male,67,1,33,0,1-2 Year,Yes,29344,26,246,0
2442,Female,24,1,27,0,< 1 Year,Yes,15627,152,41,0
2443,Male,30,1,47,0,< 1 Year,Yes,29193,152,266,1
2444,Male,24,1,14,1,< 1 Year,No,35658,152,105,0
2445,Female,24,1,12,1,< 1 Year,No,29183,152,44,0
2446,Female,53,1,8,1,1-2 Year,No,19461,19,225,0
2447,Male,45,1,3,0,1-2 Year,Yes,34218,124,247,0
2448,Female,45,1,28,1,1-2 Year,No,38403,26,187,0
2449,Female,75,1,28,0,1-2 Year,Yes,30444,124,183,1
2450,Female,26,1,47,0,< 1 Year,Yes,29431,152,202,0
2451,Male,25,1,33,1,< 1 Year,No,32589,152,130,0
2452,Male,24,1,34,1,< 1 Year,No,32949,152,219,0
2453,Male,69,1,14,0,1-2 Year,Yes,36235,26,51,0
2454,Female,23,1,33,1,< 1 Year,No,17297,152,267,0
2455,Female,31,1,21,0,1-2 Year,Yes,2630,156,110,0
2456,Female,38,1,28,0,1-2 Year,Yes,38672,122,280,1
2457,Male,41,1,27,0,1-2 Year,Yes,26355,124,48,0
2458,Male,62,1,36,1,1-2 Year,No,55103,55,155,0
2459,Male,26,1,39,0,1-2 Year,Yes,2630,124,119,0
2460,Male,45,1,28,0,1-2 Year,Yes,45337,26,50,0
2461,Female,62,1,11,0,1-2 Year,Yes,27141,124,61,0
2462,Female,44,1,41,0,1-2 Year,Yes,2630,26,275,0
2463,Female,21,1,45,0,< 1 Year,No,27640,160,31,0
2464,Male,42,1,50,0,1-2 Year,No,32427,156,263,0
2465,Female,24,1,9,0,< 1 Year,Yes,32037,151,100,0
2466,Male,55,1,15,0,1-2 Year,Yes,2630,156,70,0
2467,Male,36,1,28,1,1-2 Year,No,45381,124,279,0
2468,Male,61,1,46,0,1-2 Year,Yes,47378,124,280,0
2469,Female,43,1,28,0,> 2 Years,Yes,32131,26,284,0
2470,Female,60,1,28,1,1-2 Year,No,38466,25,68,0
2471,Female,35,1,28,0,1-2 Year,Yes,29775,124,75,0
2472,Male,42,1,28,0,< 1 Year,No,2630,1,107,0
2473,Female,44,1,28,0,1-2 Year,Yes,27589,124,153,0
2474,Female,59,1,43,1,1-2 Year,No,2630,23,119,0
2475,Male,25,1,28,0,< 1 Year,No,28234,152,220,1
2476,Male,51,1,28,0,> 2 Years,Yes,39497,26,225,0
2477,Male,69,1,41,1,1-2 Year,No,33766,26,126,0
2478,Male,53,1,8,1,1-2 Year,No,34860,124,184,0
2479,Male,48,1,8,0,1-2 Year,No,59019,26,286,0
2480,Female,36,1,3,1,1-2 Year,No,55767,26,42,0
2481,Male,77,1,48,1,1-2 Year,No,2630,124,115,0
2482,Female,26,1,8,1,< 1 Year,No,40093,152,270,0
2483,Female,53,1,6,1,1-2 Year,No,34794,122,196,0
2484,Male,29,1,50,0,1-2 Year,No,23901,124,242,0
2485,Male,40,1,50,0,1-2 Year,Yes,18559,124,124,0
2486,Male,21,1,28,0,< 1 Year,Yes,2630,160,248,0
2487,Male,40,1,28,0,1-2 Year,Yes,39487,26,191,0
2488,Male,24,1,15,1,< 1 Year,No,32042,152,136,0
2489,Female,52,1,3,0,1-2 Year,Yes,33553,30,125,0
2490,Female,59,1,36,0,< 1 Year,Yes,45216,152,100,0
2491,Female,23,1,15,1,< 1 Year,No,34092,152,242,0
2492,Male,72,1,28,1,1-2 Year,No,61280,26,63,0
2493,Female,33,1,0,0,1-2 Year,No,2630,52,211,0
2494,Female,23,1,46,1,< 1 Year,No,25984,152,26,0
2495,Male,44,1,36,0,1-2 Year,Yes,36240,124,260,0
2496,Male,25,1,27,1,< 1 Year,No,28618,152,28,0
2497,Male,24,1,28,1,< 1 Year,No,36463,152,149,0
2498,Female,25,1,27,0,< 1 Year,Yes,2630,152,256,0
2499,Male,23,1,46,1,< 1 Year,No,36121,152,274,0
2500,Male,46,1,8,1,1-2 Year,Yes,34061,153,151,0
2501,Female,21,1,30,0,< 1 Year,Yes,35972,160,240,0
2502,Female,45,1,47,1,1-2 Year,No,28958,152,152,0
2503,Male,23,1,11,0,< 1 Year,Yes,29344,152,147,0
2504,Female,24,1,6,1,< 1 Year,No,22816,152,280,0
2505,Female,23,1,29,1,< 1 Year,No,23586,152,151,0
2506,Male,24,1,8,1,< 1 Year,No,47393,152,256,0
2507,Male,44,1,28,0,1-2 Year,Yes,48288,124,280,1
2508,Male,43,1,46,1,1-2 Year,No,26920,124,116,0
2509,Female,26,1,8,1,< 1 Year,No,39658,152,235,0
2510,Female,22,1,30,0,< 1 Year,Yes,2630,152,64,0
2511,Male,24,1,35,1,< 1 Year,No,2630,152,138,0
2512,Female,37,1,37,0,1-2 Year,Yes,29194,124,271,0
2513,Female,22,1,21,1,< 1 Year,No,31866,152,83,0
2514,Male,23,1,9,0,< 1 Year,No,40578,151,58,0
2515,Male,70,1,8,0,1-2 Year,Yes,56061,19,187,0
2516,Male,52,1,46,0,1-2 Year,Yes,27046,26,89,0
2517,Male,34,1,28,0,1-2 Year,Yes,40052,124,82,0
2518,Female,29,1,28,1,< 1 Year,No,35257,152,175,0
2519,Male,45,1,29,0,1-2 Year,Yes,35149,124,257,1
2520,Female,46,1,28,1,1-2 Year,No,54129,26,173,0
2521,Male,54,1,15,1,1-2 Year,No,2630,26,40,0
2522,Female,24,1,36,1,< 1 Year,No,34149,152,241,0
2523,Male,56,1,3,0,1-2 Year,Yes,2630,124,176,0
2524,Female,22,1,46,1,< 1 Year,Yes,22539,152,227,0
2525,Female,23,1,10,1,< 1 Year,No,34848,152,240,0
2526,Male,68,1,46,0,1-2 Year,Yes,48333,26,262,0
2527,Male,21,1,10,0,< 1 Year,Yes,25093,160,256,1
2528,Male,22,1,29,1,< 1 Year,No,32963,152,229,0
2529,Female,58,1,28,0,1-2 Year,Yes,41143,25,201,0
2530,Male,56,1,28,0,1-2 Year,Yes,51569,44,100,0
2531,Female,45,1,28,0,> 2 Years,Yes,85786,26,48,0
2532,Female,25,1,27,0,< 1 Year,Yes,31974,152,40,0
2533,Male,34,1,19,1,< 1 Year,No,2630,1,135,0
2534,Male,27,1,8,1,< 1 Year,No,46374,152,147,0
2535,Female,24,1,21,0,< 1 Year,Yes,28576,152,198,0
2536,Male,23,1,45,1,< 1 Year,No,25045,152,122,0
2537,Female,23,1,46,0,< 1 Year,Yes,43734,124,190,0
2538,Female,22,1,30,1,< 1 Year,No,35164,152,29,0
2539,Female,22,1,6,1,< 1 Year,No,22360,152,123,0
2540,Male,41,1,24,0,1-2 Year,Yes,2630,157,286,0
2541,Female,44,1,28,0,1-2 Year,Yes,2630,163,224,0
2542,Male,43,1,28,0,1-2 Year,Yes,46756,26,217,1
2543,Male,57,1,7,1,1-2 Year,No,2630,124,231,0
2544,Male,36,1,17,0,1-2 Year,Yes,28998,124,220,0
2545,Male,54,1,8,0,1-2 Year,Yes,53686,124,202,1
2546,Male,63,1,8,0,1-2 Year,No,49096,124,126,0
2547,Male,21,1,29,1,< 1 Year,No,31144,152,191,0
2548,Male,22,1,30,1,< 1 Year,No,38981,152,118,0
2549,Male,46,1,15,1,1-2 Year,No,28329,154,178,0
2550,Male,41,1,29,0,1-2 Year,Yes,28677,124,145,0
2551,Female,64,1,50,1,1-2 Year,No,2630,160,16,0
2552,Male,47,1,28,0,> 2 Years,Yes,43804,26,74,1
2553,Female,62,1,28,0,1-2 Year,Yes,30197,26,49,0
2554,Male,70,1,46,0,1-2 Year,Yes,2630,124,115,0
2555,Female,49,1,28,0,1-2 Year,Yes,25638,124,152,0
2556,Female,23,1,36,0,< 1 Year,Yes,37005,152,210,0
2557,Male,41,1,28,0,1-2 Year,Yes,33952,29,20,0
2558,Male,27,1,11,0,< 1 Year,Yes,31869,152,213,0
2559,Male,23,1,41,1,< 1 Year,No,29190,152,116,0
2560,Male,35,1,31,0,1-2 Year,No,2630,26,179,0
2561,Female,29,1,41,1,< 1 Year,No,37367,152,278,0
2562,Male,37,1,8,0,1-2 Year,Yes,37234,124,223,1
2563,Female,24,1,11,1,< 1 Year,No,48353,152,299,0
2564,Male,33,1,41,0,1-2 Year,Yes,22792,124,213,0
2565,Female,36,1,31,0,1-2 Year,Yes,2630,152,251,0
2566,Male,55,1,8,0,1-2 Year,Yes,43113,124,29,1
2567,Male,48,1,47,0,1-2 Year,Yes,38699,124,214,0
2568,Female,38,1,13,0,1-2 Year,Yes,2630,124,220,1
2569,Female,29,1,28,0,1-2 Year,Yes,36896,26,199,1
2570,Female,44,1,9,0,1-2 Year,Yes,43447,26,26,0
2571,Male,60,1,28,0,1-2 Year,Yes,45817,26,296,0
2572,Male,21,1,45,0,< 1 Year,No,29529,160,232,0
2573,Female,25,1,28,1,< 1 Year,No,38789,153,186,0
2574,Female,27,1,17,1,< 1 Year,No,36513,152,298,0
2575,Male,23,1,17,1,< 1 Year,No,2630,152,225,0
2576,Female,55,1,15,1,1-2 Year,No,50889,26,247,0
2577,Female,24,1,27,1,< 1 Year,No,29651,152,150,0
2578,Male,41,1,28,1,1-2 Year,No,33711,124,202,0
2579,Male,66,1,28,0,> 2 Years,Yes,30847,26,273,0
2580,Female,24,1,47,1,< 1 Year,No,30912,152,253,0
2581,Female,23,1,36,1,< 1 Year,No,35674,152,264,0
2582,Female,23,1,11,1,< 1 Year,No,15643,152,176,0
2583,Female,28,1,47,0,< 1 Year,Yes,20138,152,202,0
2584,Female,35,1,46,0,1-2 Year,Yes,2630,152,145,0
2585,Male,22,1,15,0,< 1 Year,Yes,37358,152,184,0
2586,Male,33,1,45,1,< 1 Year,No,33980,152,149,0
2587,Female,25,1,18,1,< 1 Year,No,37968,152,252,0
2588,Female,24,1,14,0,< 1 Year,Yes,24362,152,93,0
2589,Male,37,1,31,0,1-2 Year,Yes,2630,124,27,0
2590,Male,33,1,28,0,< 1 Year,Yes,37991,152,45,1
2591,Female,39,1,11,0,1-2 Year,Yes,2630,26,260,0
2592,Male,43,1,28,0,1-2 Year,No,46696,124,179,0
2593,Female,23,1,17,1,< 1 Year,No,39428,152,25,0
2594,Female,21,1,46,1,< 1 Year,No,28198,160,277,0
2595,Female,25,1,28,1,< 1 Year,No,33876,152,232,0
2596,Female,32,1,45,1,< 1 Year,No,38037,152,133,0
2597,Female,38,1,1,1,1-2 Year,No,2630,152,178,0
2598,Female,22,1,42,1,< 1 Year,No,31208,152,221,0
2599,Male,50,1,33,0,1-2 Year,Yes,33347,124,75,0
2600,Male,38,1,8,0,1-2 Year,Yes,37071,124,235,0
2601,Female,66,1,28,0,> 2 Years,Yes,33611,122,292,0
2602,Male,42,1,28,0,1-2 Year,Yes,31449,26,148,1
2603,Female,21,1,46,0,< 1 Year,Yes,31092,152,17,0
2604,Male,60,1,41,0,1-2 Year,Yes,43180,12,149,0
2605,Female,31,1,4,1,< 1 Year,No,36605,152,60,0
2606,Male,30,1,28,0,1-2 Year,Yes,60591,124,140,0
2607,Female,42,1,28,0,1-2 Year,Yes,53272,26,80,1
2608,Male,33,1,28,0,1-2 Year,Yes,44627,124,225,0
2609,Male,28,1,41,1,< 1 Year,Yes,35209,152,286,0
2610,Male,56,1,28,1,1-2 Year,Yes,50938,25,181,0
2611,Male,46,1,45,0,1-2 Year,No,2630,124,165,0
2612,Male,63,1,15,0,1-2 Year,Yes,27932,14,112,0
2613,Male,47,1,46,0,> 2 Years,Yes,2630,157,222,0
2614,Male,66,1,46,0,1-2 Year,Yes,30087,26,118,0
2615,Female,35,1,11,0,1-2 Year,Yes,28482,122,114,1
2616,Female,25,1,3,0,< 1 Year,Yes,34793,152,187,0
2617,Female,21,1,15,0,< 1 Year,Yes,23219,152,109,0
2618,Male,25,1,28,1,< 1 Year,No,26987,152,298,0
2619,Male,21,1,22,1,< 1 Year,No,36141,160,208,0
2620,Male,58,1,35,0,1-2 Year,No,2630,26,22,0
2621,Male,26,1,36,0,< 1 Year,Yes,20312,26,140,1
2622,Male,25,1,6,1,< 1 Year,No,18750,152,250,0
2623,Male,22,1,30,1,< 1 Year,No,40855,152,20,0
2624,Female,23,1,15,1,< 1 Year,No,40207,152,172,0
2625,Female,25,1,50,1,< 1 Year,No,42177,152,247,0
2626,Male,43,1,15,1,1-2 Year,No,2630,26,91,0
2627,Male,79,1,34,1,1-2 Year,No,40668,16,18,0
2628,Male,27,1,21,1,< 1 Year,No,35109,152,96,0
2629,Female,20,1,8,1,< 1 Year,No,60417,160,278,0
2630,Female,23,1,28,1,< 1 Year,No,31684,152,257,0
2631,Male,27,1,10,0,< 1 Year,No,18731,152,63,0
2632,Male,33,1,47,1,< 1 Year,Yes,31345,152,59,0
2633,Female,21,1,30,1,< 1 Year,No,25713,152,88,0
2634,Female,23,1,28,0,< 1 Year,Yes,66836,152,60,0
2635,Male,24,1,50,0,< 1 Year,Yes,35363,160,123,0
2636,Male,38,1,41,0,1-2 Year,Yes,2630,156,251,1
2637,Male,52,1,28,0,> 2 Years,Yes,40754,124,143,0
2638,Female,46,1,28,0,1-2 Year,Yes,41840,26,77,1
2639,Male,21,1,46,0,< 1 Year,Yes,30773,160,14,0
2640,Female,22,1,8,0,< 1 Year,Yes,47186,152,170,0
2641,Male,52,1,41,1,1-2 Year,No,19318,124,91,0
2642,Male,45,1,48,0,1-2 Year,Yes,2630,124,65,0
2643,Female,35,1,8,0,1-2 Year,Yes,27002,124,77,1
2644,Male,22,1,28,0,< 1 Year,No,46242,152,29,0
2645,Male,50,1,29,0,1-2 Year,Yes,44351,26,193,0
2646,Female,46,1,36,1,1-2 Year,No,35489,124,114,0
2647,Female,24,1,46,0,< 1 Year,Yes,26246,151,276,0
2648,Male,28,1,18,1,< 1 Year,No,29826,152,90,0
2649,Male,67,1,28,0,1-2 Year,Yes,50286,26,110,0
2650,Male,50,1,30,1,1-2 Year,No,2630,124,36,0
2651,Male,40,1,28,0,1-2 Year,Yes,31692,124,244,0
2652,Female,33,1,15,0,1-2 Year,Yes,2630,154,190,0
2653,Male,24,1,6,0,< 1 Year,Yes,30986,152,166,0
2654,Male,43,1,48,1,1-2 Year,No,2630,124,276,0
2655,Male,41,1,28,0,> 2 Years,Yes,45340,26,16,1
2656,Female,24,1,15,1,< 1 Year,No,2630,151,131,0
2657,Male,48,1,28,0,1-2 Year,Yes,24604,124,221,1
2658,Male,48,1,28,0,1-2 Year,Yes,58140,26,243,0
2659,Male,23,1,21,1,< 1 Year,No,20347,152,203,0
2660,Female,22,1,33,1,< 1 Year,No,51412,152,25,0
2661,Male,25,1,41,1,< 1 Year,No,31701,152,27,0
2662,Male,65,1,8,1,1-2 Year,No,43596,26,250,0
2663,Female,63,1,28,1,1-2 Year,No,72904,124,44,0
2664,Male,64,1,28,0,1-2 Year,Yes,27309,13,265,0
2665,Male,53,1,28,0,1-2 Year,Yes,53638,26,154,0
2666,Female,66,1,34,0,1-2 Year,Yes,39448,26,76,0
2667,Female,41,1,15,1,1-2 Year,No,49318,124,259,0
2668,Male,27,1,35,1,< 1 Year,No,37913,152,206,0
2669,Female,46,1,48,1,1-2 Year,No,2630,122,120,0
2670,Male,45,1,18,0,1-2 Year,Yes,35728,52,145,0
2671,Male,50,1,26,0,1-2 Year,Yes,33982,26,132,0
2672,Male,27,1,41,1,< 1 Year,No,37333,152,165,0
2673,Female,24,1,28,0,< 1 Year,Yes,2630,152,263,0
2674,Female,23,1,17,1,< 1 Year,No,42874,26,137,0
2675,Male,72,1,28,0,1-2 Year,Yes,32894,26,146,0
2676,Female,22,1,46,1,< 1 Year,No,25583,152,248,0
2677,Female,23,1,41,0,< 1 Year,Yes,19737,152,253,1
2678,Male,70,1,12,0,> 2 Years,Yes,50415,26,237,0
2679,Male,27,1,8,1,< 1 Year,No,34063,152,24,0
2680,Female,48,1,28,0,1-2 Year,Yes,2630,156,11,0
2681,Female,72,1,4,1,1-2 Year,No,27884,124,227,0
2682,Male,38,1,10,1,1-2 Year,No,2630,151,281,0
2683,Male,22,1,10,0,< 1 Year,Yes,28157,152,261,0
2684,Male,22,1,27,1,< 1 Year,No,2630,160,208,0
2685,Female,21,1,46,1,< 1 Year,No,36429,160,14,0
2686,Female,30,1,50,0,< 1 Year,Yes,31244,152,79,0
2687,Female,47,1,28,1,1-2 Year,No,32054,26,181,0
2688,Male,34,1,28,0,1-2 Year,Yes,34111,26,212,1
2689,Female,24,1,11,1,< 1 Year,No,33253,152,270,0
2690,Male,45,1,11,0,1-2 Year,Yes,40974,26,108,1
2691,Female,30,1,10,1,< 1 Year,No,29862,152,122,0
2692,Female,42,1,46,0,1-2 Year,Yes,35151,124,242,1
2693,Male,51,1,29,1,1-2 Year,Yes,2630,26,187,0
2694,Male,47,1,28,0,1-2 Year,Yes,28906,122,145,0
2695,Female,37,1,28,1,< 1 Year,No,2630,1,81,0
2696,Female,51,1,30,1,1-2 Year,No,2630,152,59,0
2697,Female,38,1,12,0,1-2 Year,Yes,2630,156,64,0
2698,Male,27,1,34,0,< 1 Year,Yes,29467,152,47,0
2699,Male,67,0,1,1,1-2 Year,No,2630,26,35,0
2700,Male,31,1,12,0,< 1 Year,Yes,2630,156,95,0
2701,Female,30,1,41,0,< 1 Year,Yes,18266,124,189,1
2702,Male,21,1,8,0,< 1 Year,Yes,32604,152,161,0
2703,Male,25,1,11,1,< 1 Year,No,25343,152,60,0
2704,Female,23,1,11,1,< 1 Year,No,37519,152,263,0
2705,Female,21,1,46,0,< 1 Year,Yes,40756,152,155,0
2706,Male,43,1,50,0,1-2 Year,Yes,33961,8,150,0
2707,Male,71,1,35,0,1-2 Year,Yes,27080,124,230,1
2708,Male,55,1,20,0,1-2 Year,Yes,2630,124,85,0
2709,Female,37,1,10,1,1-2 Year,No,2630,152,203,0
2710,Male,38,1,29,1,1-2 Year,No,28004,152,100,0
2711,Male,48,1,28,1,1-2 Year,No,46007,26,62,0
2712,Male,48,1,28,0,> 2 Years,Yes,43874,26,121,1
2713,Female,27,1,11,1,< 1 Year,No,27203,152,62,0
2714,Female,23,1,32,1,< 1 Year,No,36634,152,56,0
2715,Male,25,1,29,1,< 1 Year,No,37933,152,175,0
2716,Female,21,1,33,1,< 1 Year,No,27820,152,258,0
2717,Female,58,1,28,1,1-2 Year,No,2630,26,223,0
2718,Male,57,1,28,0,1-2 Year,Yes,46602,26,77,0
2719,Male,25,1,50,0,< 1 Year,Yes,23887,152,206,0
2720,Female,64,1,28,1,1-2 Year,No,54670,152,270,0
2721,Male,37,1,47,0,1-2 Year,Yes,34348,157,202,0
2722,Male,35,1,21,1,1-2 Year,Yes,27118,26,37,0
2723,Male,56,1,3,1,1-2 Year,Yes,28107,26,165,0
2724,Male,26,1,15,1,< 1 Year,No,25182,152,262,0
2725,Female,25,1,12,1,< 1 Year,No,26004,152,24,0
2726,Female,47,1,28,0,1-2 Year,Yes,36914,122,145,1
2727,Male,20,1,25,1,< 1 Year,No,23672,160,46,0
2728,Male,52,1,48,1,1-2 Year,No,2630,15,278,0
2729,Female,43,1,33,0,1-2 Year,Yes,2630,26,269,1
2730,Male,24,1,29,1,< 1 Year,No,33350,152,25,0
